nom_syndrome,nom_latin,nom_chinois,score_role
arthrite rhumatoïde chronique,Glycyrrhiza uralensis,甘草,2
arthrose,Eucommia ulmoides,杜仲,10
arthrose,Achyranthes bidentata,牛膝,7
arthrose,Atractylodes macrocephala,白术,7
arthrose,Angelica sinensis,当归,4
arthrose,Cinnamomum cassia,肉桂,4
arthrose,Ligusticum wallichii,川芎,4
arthrose,Paeonia lactiflora,白芍,4
arthrose,Panax ginseng,人参,4
arthrose,Poria cocos,茯苓,4
arthrose,Glycyrrhiza uralensis,甘草,2
arthrose des membres inférieurs,Eucommia ulmoides,杜仲,10
arthrose des membres inférieurs,Achyranthes bidentata,牛膝,7
arthrose des membres inférieurs,Atractylodes macrocephala,白术,7
arthrose des membres inférieurs,Angelica sinensis,当归,4
arthrose des membres inférieurs,Cinnamomum cassia,肉桂,4
arthrose des membres inférieurs,Ligusticum wallichii,川芎,4
arthrose des membres inférieurs,Paeonia lactiflora,白芍,4
arthrose des membres inférieurs,Panax ginseng,人参,4
arthrose des membres inférieurs,Poria cocos,茯苓,4
arthrose des membres inférieurs,Glycyrrhiza uralensis,甘草,2
arthrose vertébrale,Eucommia ulmoides,杜仲,10
arthrose vertébrale,Achyranthes bidentata,牛膝,7
arthrose vertébrale,Atractylodes macrocephala,白术,7
arthrose vertébrale,Angelica sinensis,当归,4
arthrose vertébrale,Cinnamomum cassia,肉桂,4
arthrose vertébrale,Ligusticum wallichii,川芎,4
arthrose vertébrale,Paeonia lactiflora,白芍,4
arthrose vertébrale,Panax ginseng,人参,4
arthrose vertébrale,Poria cocos,茯苓,4
arthrose vertébrale,Glycyrrhiza uralensis,甘草,2
artériosclérose,Panax notoginseng,三七,10
artériosclérose,Salvia miltiorrhiza,丹参,7
artériosclérose,Paeonia lactiflora,白芍,4
artériosclérose cérébrale,Panax notoginseng,三七,10
artériosclérose cérébrale,Salvia miltiorrhiza,丹参,7
artériosclérose cérébrale,Paeonia lactiflora,白芍,4
ascites,Paeonia suffruticosa,牡丹皮,10
ascites,Atractylodes macrocephala,白术,7
ascites,Coix lacryma-jobi,薏苡仁,4
ascites,Achyranthes bidentata,牛膝,2
asthénies,Astragalus membranaceus,黄芪,20
asthénies,Panax ginseng,人参,17
asthénies,Atractylodes macrocephala,白术,14
asthénies,Glycyrrhiza uralensis,甘草,9
asthénies,Angelica sinensis,当归,4
asthénies,Coptis chinensis,黄连,4
asthénies,Poria cocos,茯苓,4
asthénies,Bupleurum chinense,柴胡,2
asthénies,Zingiber officinale,生姜,2
asthénies sexuelles,Cordyceps sinensis,冬虫夏草,10
atrophies cérébrales,Angelica sinensis,当归,10
atrophies cérébrales,Forsythia suspensa,连翘,10
atrophies cérébrales,Schisandra chinensis,五味子,7
atrophies des membres,Paeonia suffruticosa,牡丹皮,10
atrophies des membres,Atractylodes macrocephala,白术,7
atrophies des membres,Coix lacryma-jobi,薏苡仁,4
atrophies des membres,Achyranthes bidentata,牛膝,2
atrophies du Poumon (Fei Wei) causées par une chaleur Vide de l’Estomac qui agresse le Yin du Poumon,Ophiopogon japonicus,麦冬,10
atrophies du Poumon (Fei Wei) causées par une chaleur Vide de l’Estomac qui agresse le Yin du Poumon,Scutellaria baicalensis,黄芩,7
atrophies du Poumon (Fei Wei) causées par une chaleur Vide de l’Estomac qui agresse le Yin du Poumon,Panax ginseng,人参,4
atrophies du Poumon (Fei Wei) causées par une chaleur Vide de l’Estomac qui agresse le Yin du Poumon,Dioscorea opposita,山药,2
atrophies du Poumon (Fei Wei) causées par une chaleur Vide de l’Estomac qui agresse le Yin du Poumon,Glycyrrhiza uralensis,甘草,2
atrophies du nerf optique,Angelica sinensis,当归,10
atrophies du nerf optique,Ligusticum wallichii,川芎,4
atrophies du nerf optique,Paeonia lactiflora,白芍,4
attaques de la chaleur humidité pendant l’été,Paeonia suffruticosa,牡丹皮,10
attaques de la chaleur humidité pendant l’été,Atractylodes macrocephala,白术,7
attaques de la chaleur humidité pendant l’été,Coix lacryma-jobi,薏苡仁,4
attaques de la chaleur humidité pendant l’été,Achyranthes bidentata,牛膝,2
atteintes du Vent Froid durant la convalescence et le post-partum,Astragalus membranaceus,黄芪,20
atteintes du Vent Froid durant la convalescence et le post-partum,Atractylodes macrocephala,白术,14
atteintes du Vent Froid durant la convalescence et le post-partum,Ziziphus jujuba,酸枣仁,11
atteintes du Vent Froid durant la convalescence et le post-partum,Panax ginseng,人参,10
atteintes du Vent Froid durant la convalescence et le post-partum,Glycyrrhiza uralensis,甘草,9
atteintes du Vent Froid durant la convalescence et le post-partum,Angelica sinensis,当归,7
atteintes du Vent Froid durant la convalescence et le post-partum,Dimocarpus longan,龙眼肉,4
atteintes du Vent Froid durant la convalescence et le post-partum,Polygala tenuifolia,远志,4
atteintes du Vent Froid durant la convalescence et le post-partum,Poria cocos,茯苓,4
atteintes du Vent Froid durant la convalescence et le post-partum,Aucklandia lappa,木香,2
aversion pour le vent et les courants d’air,Astragalus membranaceus,黄芪,10
aversion pour le vent et les courants d’air,Panax ginseng,人参,10
aversion pour le vent et les courants d’air,Angelica sinensis,当归,7
aversion pour le vent et les courants d’air,Atractylodes macrocephala,白术,7
aversion pour le vent et les courants d’air,Glycyrrhiza uralensis,甘草,7
aversion pour le vent et les courants d’air,Dimocarpus longan,龙眼肉,4
aversion pour le vent et les courants d’air,Polygala tenuifolia,远志,4
aversion pour le vent et les courants d’air,Poria cocos,茯苓,4
aversion pour le vent et les courants d’air,Ziziphus jujuba,酸枣仁,4
aversion pour le vent et les courants d’air,Aucklandia lappa,木香,2
aversion pour l’humidité,Paeonia suffruticosa,牡丹皮,10
aversion pour l’humidité,Atractylodes macrocephala,白术,7
aversion pour l’humidité,Coix lacryma-jobi,薏苡仁,4
aversion pour l’humidité,Achyranthes bidentata,牛膝,2
avortement répété,Angelica sinensis,当归,10
avortement répété,Lycium chinensis,枸杞子,10
avortement répété,Morus alba,桑葚,10
avortement répété,Panax ginseng,人参,10
avortement répété,Atractylodes macrocephala,白术,7
avortement répété,Carthamus tinctorius,红花,7
avortement répété,Paeonia lactiflora,白芍,7
avortement répété,Poria cocos,茯苓,7
avortement répété,Ligusticum wallichii,川芎,4
avortement répété,Glycyrrhiza uralensis,甘草,2
avortement répété,Laminaria japonica,昆布,2
baisse de l’acuité visuelle,Angelica sinensis,当归,10
baisse de l’acuité visuelle,Ligusticum wallichii,川芎,4
baisse de l’acuité visuelle,Paeonia lactiflora,白芍,4
ballonnements,Panax ginseng,人参,17
ballonnements,Atractylodes macrocephala,白术,14
ballonnements,Astragalus membranaceus,黄芪,10
ballonnements,Glycyrrhiza uralensis,甘草,9
ballonnements,Angelica sinensis,当归,4
ballonnements,Coptis chinensis,黄连,4
ballonnements,Poria cocos,茯苓,4
ballonnements,Bupleurum chinense,柴胡,2
ballonnements,Zingiber officinale,生姜,2
beng Lou (ou métrorragies internes et métrorragies gouttes à gouttes),Angelica sinensis,当归,17
beng Lou (ou métrorragies internes et métrorragies gouttes à gouttes),Paeonia lactiflora,白芍,11
beng Lou (ou métrorragies internes et métrorragies gouttes à gouttes),Cinnamomum cassia,肉桂,10
beng Lou (ou métrorragies internes et métrorragies gouttes à gouttes),Rehmannia glutinosa,地黄,10
beng Lou (ou métrorragies internes et métrorragies gouttes à gouttes),Paeonia suffruticosa,牡丹皮,7
beng Lou (ou métrorragies internes et métrorragies gouttes à gouttes),Ligusticum wallichii,川芎,4
beng Lou (ou métrorragies internes et métrorragies gouttes à gouttes),Ophiopogon japonicus,麦冬,4
beng Lou (ou métrorragies internes et métrorragies gouttes à gouttes),Panax ginseng,人参,4
beng Lou (ou métrorragies internes et métrorragies gouttes à gouttes),Scutellaria baicalensis,黄芩,4
beng Lou (ou métrorragies internes et métrorragies gouttes à gouttes),Glycyrrhiza uralensis,甘草,2
besoin de chaleur,Atractylodes macrocephala,白术,14
besoin de chaleur,Panax ginseng,人参,14
besoin de chaleur,Angelica sinensis,当归,11
besoin de chaleur,Astragalus membranaceus,黄芪,10
besoin de chaleur,Eucommia ulmoides,杜仲,10
besoin de chaleur,Glycyrrhiza uralensis,甘草,9
besoin de chaleur,Poria cocos,茯苓,8
besoin de chaleur,Achyranthes bidentata,牛膝,7
besoin de chaleur,Cinnamomum cassia,肉桂,4
besoin de chaleur,Dimocarpus longan,龙眼肉,4
besoin de chaleur,Ligusticum wallichii,川芎,4
besoin de chaleur,Paeonia lactiflora,白芍,4
besoin de chaleur,Polygala tenuifolia,远志,4
besoin de chaleur,Ziziphus jujuba,酸枣仁,4
besoin de chaleur,Aucklandia lappa,木香,2
bi douloureux dû au Vent Humidité et au Froid avec Vide du Foie et des Reins,Atractylodes macrocephala,白术,14
bi douloureux dû au Vent Humidité et au Froid avec Vide du Foie et des Reins,Eucommia ulmoides,杜仲,10
bi douloureux dû au Vent Humidité et au Froid avec Vide du Foie et des Reins,Paeonia suffruticosa,牡丹皮,10
bi douloureux dû au Vent Humidité et au Froid avec Vide du Foie et des Reins,Achyranthes bidentata,牛膝,9
bi douloureux dû au Vent Humidité et au Froid avec Vide du Foie et des Reins,Angelica sinensis,当归,4
bi douloureux dû au Vent Humidité et au Froid avec Vide du Foie et des Reins,Cinnamomum cassia,肉桂,4
bi douloureux dû au Vent Humidité et au Froid avec Vide du Foie et des Reins,Coix lacryma-jobi,薏苡仁,4
bi douloureux dû au Vent Humidité et au Froid avec Vide du Foie et des Reins,Ligusticum wallichii,川芎,4
bi douloureux dû au Vent Humidité et au Froid avec Vide du Foie et des Reins,Paeonia lactiflora,白芍,4
bi douloureux dû au Vent Humidité et au Froid avec Vide du Foie et des Reins,Panax ginseng,人参,4
bi douloureux dû au Vent Humidité et au Froid avec Vide du Foie et des Reins,Poria cocos,茯苓,4
bi douloureux dû au Vent Humidité et au Froid avec Vide du Foie et des Reins,Glycyrrhiza uralensis,甘草,2
